AGE	SEXE	REGION	STAT_MARI	SAL_HOR	SYNDICAT	CATEGORIE	NIV_ETUDES	NB_PERS	NB_ENF	REV_FOYER
21	M	NE	C	13.46	non	2	40	2	0	10
40	M	W	M	10.00	non	10	38	4	2	11
40	F	S	M	15.00	non	3	45	6	3	13
29	F	S	M	10.50	non	5	42	2	0	12
42	M	W	M	20.00	non	9	38	4	1	12
26	F	NW	M	10.00	non	1	40	2	0	15
45	M	S	D	15.00	oui	10	40	4	2	15
28	M	S	M	12.00	non	2	43	6	3	12
29	M	NE	C	12.00	oui	2	39	4	0	12
67	F	S	D	24.00	non	2	44	1	0	10
55	F	NW	M	9.80	non	2	43	3	0	13
42	F	W	M	26.48	oui	2	44	4	2	14
21	M	NW	C	15.89	non	5	39	1	0	4
47	M	NE	M	12.00	non	5	43	3	1	12
33	F	S	D	12.25	non	5	40	3	2	6
35	M	W	C	25.00	non	1	43	1	0	5
29	F	S	M	25.98	non	5	39	4	2	15
